"Rk","Player","Pos","From","To","Wins"
471,"Adam Keefe","F",1993,2001,395
472,"Brandon Bass","F",2006,2017,394
473,"Larry Costello","G",1955,1968,394
474,"Al Jefferson","C",2005,2018,394
475,"Wali Jones","G",1965,1976,394
476,"Donyell Marshall","F",1995,2009,394
477,"Paul Arizin","F",1951,1962,393
478,"Samuel Dalembert","C",2002,2015,393
479,"Jeff Foster","F",2000,2012,393
480,"Vladimir RadmanoviÄ‡","F",2002,2013,393
481,"Tim Thomas","F",1998,2010,393
482,"Kevin Duckworth","C",1987,1997,392
483,"Eddie House","G",2001,2011,392
484,"Muggsy Bogues","G",1988,2001,391
485,"Larry Foust","C",1951,1962,391
486,"Rudy LaRusso","F",1960,1969,391
487,"Scott Williams","F",1991,2005,391
488,"Mario Chalmers","G",2009,2018,389
489,"Drew Gooden","F",2003,2016,389
490,"Cory Joseph","G",2012,2021,389
491,"Christian Laettner","F",1993,2005,388
492,"Arnie Risen","C",1949,1958,388
493,"Andrew Bogut","C",2006,2019,387
494,"Johnny Davis","G",1977,1986,387
495,"Darrell Griffith","G",1981,1991,387
496,"Dick McGuire","G",1950,1960,387
497,"Jack Twyman","F",1956,1966,387
498,"Tony Battie","C",1998,2012,386
499,"Travis Best","G",1996,2005,386
500,"Vern Mikkelsen","F",1950,1959,386
501,"Norm Van Lier","G",1970,1979,386
502,"Brian Grant","F",1995,2006,385
503,"Dan Issel","C",1977,1985,384
504,"Bernard King","F",1978,1993,384
505,"Clyde Lee","F",1967,1976,384
506,"Fat Lever","G",1983,1994,383
507,"Jim McMillian","F",1971,1979,383
508,"George Lynch","F",1994,2005,382
509,"Dan Roundfield","F",1977,1987,382
510,"M.L. Carr","F",1977,1985,380
511,"Kenny Smith","G",1988,1997,379
512,"Spencer Haywood","F",1971,1983,378
513,"Dana Barros","G",1990,2004,377
514,"JosÃ© CalderÃ³n","G",2006,2019,377
515,"Kevin Grevey","G",1976,1985,377
516,"Richie Guerin","G",1957,1970,377
517,"Jae Crowder","F",2013,2021,376
518,"Marques Johnson","F",1978,1990,376
519,"Stephon Marbury","G",1997,2009,376
520,"Harry Gallatin","F",1949,1958,374
521,"Jim Jackson","G",1993,2006,374
522,"Clint Richardson","G",1980,1987,374
523,"Alvin Scott","F",1978,1985,374
524,"Cedric Ceballos","F",1991,2001,373
525,"Blake Griffin","F",2011,2021,373
526,"Adrian Smith","G",1962,1971,373
527,"Darrall Imhoff","C",1961,1972,372
528,"Mike Newlin","G",1972,1982,372
529,"Anderson VarejÃ£o","F",2005,2017,372
530,"John Battle","G",1986,1995,371
531,"Corey Brewer","F",2008,2020,371
532,"Jim Brewer","F",1974,1982,371
533,"Rudy Tomjanovich","F",1971,1981,371
534,"Eric Bledsoe","G",2011,2021,370
535,"Vin Baker","F",1994,2006,369
536,"Brook Lopez","C",2009,2021,369
537,"Jarrett Jack","G",2006,2018,368
538,"Wally Szczerbiak","F",2000,2009,368
539,"Chris Andersen","C",2002,2017,367
540,"Chris Morris","F",1989,1999,367
541,"Ed Pinckney","F",1986,1997,367
542,"Dennis Awtrey","C",1971,1982,366
543,"Dave Gambee","F",1959,1970,366
544,"Al Bianchi","G",1957,1966,365
545,"Willie Naulls","F",1957,1966,365
546,"Jim Washington","F",1966,1976,365
547,"Orlando Woolridge","F",1982,1994,365
548,"Damian Lillard","G",2013,2021,364
549,"Paul Seymour","G",1948,1960,364
550,"Harvey Grant","F",1989,1999,363
551,"Cuttino Mobley","G",1999,2009,363
552,"Joakim Noah","C",2008,2020,363
553,"Jimmy Butler","F",2012,2021,362
554,"Derrick Favors","F",2011,2021,362
555,"Willis Reed","C",1965,1974,362
556,"Frank Brickowski","F",1985,1997,361
557,"JaVale McGee","C",2009,2021,361
558,"Lonnie Shelton","F",1977,1986,361
559,"Ricky Sobers","G",1976,1986,361
560,"Arron Afflalo","G",2008,2018,360
561,"Ryan Anderson","F",2009,2020,359
562,"Aaron Brooks","G",2008,2018,359
563,"Dave Greenwood","F",1980,1991,359
564,"Kosta Koufos","C",2009,2019,359
565,"Chucky Brown","F",1990,2002,358
566,"Jack Coleman","F",1950,1958,358
567,"Darren Collison","G",2010,2019,358
568,"Jim Loscutoff","F",1956,1964,358
569,"Luc Mbah a Moute","F",2009,2020,358
570,"Wesley Person","G",1995,2005,358
571,"Tom Van Arsdale","F",1966,1977,358
572,"Greg Foster","F",1991,2003,357
573,"Matt Harpring","F",1999,2009,357
574,"Mehmet Okur","C",2003,2012,357
575,"Bonzi Wells","G",1999,2008,357
576,"Hubert Davis","G",1993,2004,356
577,"Tom McMillen","F",1976,1986,356
578,"Evan Turner","G",2011,2020,356
579,"Harrison Barnes","F",2013,2021,355
580,"Willie Green","G",2004,2015,355
581,"Kris Humphries","F",2005,2017,355
582,"Rodney McCray","F",1984,1993,355
583,"Trent Tucker","G",1983,1993,355
584,"Corie Blount","F",1994,2004,354
585,"Ian Mahinmi","C",2008,2020,354
586,"Quentin Richardson","G",2001,2013,354
587,"Matt Bullard","F",1991,2002,353
588,"Paul Mokeski","C",1980,1991,353
589,"Terry Tyler","F",1979,1989,353
590,"Derrick Coleman","F",1991,2005,351
591,"J.R. Reid","F",1990,2001,351
592,"Clarence Weatherspoon","F",1993,2005,351
593,"Scott Brooks","G",1989,1998,350
594,"Michael Curry","F",1994,2005,349
595,"John Drew","F",1975,1985,349
596,"Bob Harrison","G",1950,1958,349
597,"Steve Hawes","C",1975,1984,349
598,"Reggie Jackson","G",2012,2021,349
599,"Damon Jones","G",1999,2009,349
600,"Bingo Smith","F",1970,1980,349
601,"Al Attles","G",1961,1971,348
602,"Calbert Cheaney","G",1994,2006,348
603,"Jrue Holiday","G",2010,2021,348
604,"Eduardo NÃ¡jera","F",2001,2012,348
605,"Jim Chones","C",1975,1982,347
606,"Dante Cunningham","F",2010,2019,347
607,"Chuck Hayes","F",2006,2016,347
608,"Jim King","G",1964,1973,347
609,"Ed Macauley","C",1950,1959,347
610,"Purvis Short","F",1979,1990,347
611,"Larry Siegfried","F",1964,1972,347
612,"Dwight Jones","F",1974,1983,346
613,"George McCloud","G",1990,2002,346
614,"Randy Breuer","C",1984,1994,345
615,"Gerald Green","G",2006,2019,345
616,"P.J. Tucker","F",2007,2021,345
617,"Eric Gordon","G",2009,2021,344
618,"Kevin Martin","G",2005,2016,344
619,"Rafer Alston","G",2000,2010,343
620,"Barry Clemens","F",1966,1976,343
621,"Bob Hansen","G",1984,1992,343
622,"Steve Kuberski","F",1970,1978,343
623,"Kent Benson","C",1978,1988,342
624,"Earl Cureton","F",1981,1997,342
625,"Gordon Hayward","F",2011,2021,342
626,"Jonas ValanÄiÅ«nas","C",2013,2021,342
627,"Charlie Ward","G",1995,2005,342
628,"Steven Adams","C",2014,2021,341
629,"Ronnie Brewer","G",2007,2014,341
630,"Kevin Gamble","F",1988,1997,341
631,"Brian Winters","G",1975,1983,341
632,"Don Buse","G",1977,1985,340
633,"Phil Chenier","G",1972,1981,340
634,"Clem Haskins","G",1968,1976,339
635,"Eddie Johnson","G",1978,1987,339
636,"Jamaal Magloire","C",2001,2012,339
637,"Phil Smith","G",1975,1983,339
638,"Wayman Tisdale","F",1986,1997,339
639,"Chucky Atkins","G",2000,2010,338
640,"Lucious Harris","G",1994,2005,338
641,"Kevin Porter","G",1973,1983,338
642,"Derrick Rose","G",2009,2021,338
643,"Foots Walker","G",1975,1984,338
644,"Walt Hazzard","G",1965,1974,337
645,"Mike Sanders","F",1983,1993,337
646,"Tom Boerwinkle","C",1969,1978,336
647,"Keyon Dooling","G",2001,2013,336
648,"Maurice Evans","G",2002,2012,336
649,"Enes Kanter","C",2012,2021,336
650,"Allen Leavell","G",1980,1989,336
651,"Tom Meschery","F",1962,1971,336
652,"Luke Ridnour","G",2004,2015,336
